,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
156,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,n,p,p,p,n,p,p,p,n,p,p,p,n,n
157,p,p,p,p,p,p,p,p,p,p,p,n,p,n,p,p,p,p,n,p,n,n,n,p,n,n,p,p,n,p
158,p,p,n,p,p,p,p,n,n,p,p,p,p,p,p,p,n,p,p,p,p,p,n,p,p,p,p,p,p,p
159,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p
160,n,p,n,n,p,p,p,n,p,p,n,p,p,n,p,p,n,p,p,p,p,n,p,p,n,p,n,n,p,n
161,n,n,n,p,n,p,p,p,p,n,p,p,p,n,p,p,n,p,p,n,p,p,p,p,p,p,p,p,p,p
162,p,p,n,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,n,p
163,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,n,p,p,p,n,p,p,p,p,p,p,p,p,n
164,n,p,p,n,p,p,n,n,n,n,p,p,n,p,p,p,p,n,n,p,p,p,p,p,p,n,p,n,p,p
165,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,n,n,p,p,p
166,p,p,n,p,p,p,p,p,p,p,p,p,p,n,p,p,p,n,p,p,p,p,p,p,p,p,n,p,p,p
167,p,n,n,p,p,p,p,p,p,p,p,n,p,p,p,p,n,p,n,n,n,p,p,n,p,p,p,p,n,n
168,n,n,p,p,p,n,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n
169,p,p,n,p,n,p,n,p,n,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p
170,p,p,p,p,p,p,n,p,p,p,p,p,p,p,n,n,p,p,p,p,p,p,p,p,p,p,n,p,p,p
171,p,p,p,p,p,n,p,p,p,n,n,p,p,p,p,p,p,p,p,n,p,p,p,n,p,p,p,n,n,n
172,p,p,n,p,p,p,p,p,p,p,p,n,p,p,p,n,p,p,p,p,p,p,n,p,p,n,p,n,p,n
173,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,n,p,p,p,p,p
174,p,p,p,p,p,p,n,n,n,p,p,n,p,n,n,p,n,p,p,n,p,p,p,n,p,n,n,p,p,n
175,n,n,p,p,p,p,p,p,p,n,p,p,p,p,p,n,p,p,p,p,p,p,p,p,n,p,p,n,n,p
176,p,p,p,p,n,p,n,n,p,p,p,p,p,p,n,p,n,p,p,p,p,n,p,p,p,p,p,p,p,p
177,p,p,p,p,p,p,p,p,p,p,p,n,n,p,p,n,p,p,p,p,n,n,n,n,p,p,p,p,p,n
178,p,p,p,p,n,p,p,p,p,n,p,p,n,p,p,n,n,n,p,p,p,n,n,p,p,n,p,p,n,p
179,p,p,p,p,n,p,n,p,p,n,n,p,p,n,p,n,p,n,n,p,p,p,p,n,p,n,n,n,n,p
180,p,p,p,p,p,p,n,p,n,n,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,n,p,p,p,p
181,n,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
182,p,n,p,p,p,p,p,p,p,p,n,p,p,p,p,p,n,n,n,p,p,p,n,p,p,p,p,p,p,p
183,p,p,p,p,n,p,p,p,p,p,n,p,p,p,p,p,p,p,p,n,p,p,n,p,p,p,p,p,p,p
184,n,n,n,n,p,p,n,n,p,p,p,p,n,p,p,n,n,p,p,p,n,p,n,p,p,p,n,p,p,p
185,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,n
186,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,n,p,p
187,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p
188,n,p,p,p,p,p,n,p,p,n,p,p,p,p,p,p,p,p,p,n,p,n,p,p,p,n,p,p,n,n
189,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,n,n,p,p,p,p,p,p,p,p
190,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n
191,p,p,p,p,p,n,p,p,p,p,n,p,n,n,p,n,p,p,n,p,p,p,p,p,p,p,p,p,p,n
192,p,p,p,p,p,p,p,n,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
193,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,n,n,p,p,p
194,p,n,p,p,p,n,p,p,n,p,p,p,p,p,n,n,p,p,p,n,p,p,p,p,p,p,p,n,n,p
195,p,n,p,p,p,p,p,p,p,n,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,n,n,n
196,n,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,n,p,p,p,p,p,p,p,p,p,p
197,n,p,p,p,p,n,p,p,n,n,n,p,p,p,p,p,p,p,p,p,p,p,p,n,p,n,p,p,n,p
198,n,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,n,p,p,p,p,p,p,p,p,p,p
199,p,p,p,n,p,p,n,p,n,n,n,p,p,n,n,p,n,n,p,p,p,p,p,p,p,p,n,p,p,n
200,n,n,p,n,p,p,n,p,p,p,p,n,n,p,n,p,p,p,n,p,p,p,p,p,n,p,p,n,n,p
201,n,p,n,p,n,p,p,p,n,p,n,n,p,p,p,p,p,n,p,n,p,n,n,p,n,n,n,p,p,p
202,p,p,p,p,p,p,p,p,p,n,p,p,p,p,n,p,p,p,p,n,p,p,p,n,n,p,p,p,n,p
203,n,n,p,n,p,p,p,n,p,p,p,p,p,p,n,p,p,p,n,n,n,n,p,n,n,p,p,p,p,n
204,p,p,p,p,p,p,p,p,p,p,p,n,n,p,p,p,p,p,p,p,n,p,p,p,p,n,p,p,p,p
205,n,p,p,p,p,p,n,p,p,p,p,n,p,p,p,p,n,p,p,p,p,p,p,p,n,p,n,n,n,p
206,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,n,n,p,p,n,p,p,p,n,p,p,p,p,p
207,p,n,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,n,p,p,p
208,p,n,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p
209,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
210,p,n,p,p,n,p,p,p,p,p,p,n,n,p,p,p,p,n,p,n,n,p,p,n,p,p,p,p,p,p
211,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,n,p,p,p,p,p,p,p,n,p,n,p,n,p
212,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p
213,p,p,p,n,p,p,p,p,p,p,p,p,p,n,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p
214,p,p,n,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,n,n,p,n,p,p,p,p,p,p,p,p
215,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
